Price,Close,High,Low,Open,Volume
Ticker,^CNXCONSUM,^CNXCONSUM,^CNXCONSUM,^CNXCONSUM,^CNXCONSUM
Date,,,,,
2011-07-12,1850.8900146484375,1850.8900146484375,1850.8900146484375,1850.8900146484375,0
2011-07-13,1870.239990234375,1870.239990234375,1870.239990234375,1870.239990234375,0
2011-07-14,1868.800048828125,1868.800048828125,1868.800048828125,1868.800048828125,0
2011-07-15,1868.800048828125,1868.800048828125,1868.800048828125,1868.800048828125,0
2011-07-18,1861.1800537109375,1861.1800537109375,1861.1800537109375,1861.1800537109375,0
2011-07-19,1857.6300048828125,1857.6300048828125,1857.6300048828125,1857.6300048828125,0
2011-07-20,1854.3800048828125,1854.3800048828125,1854.3800048828125,1854.3800048828125,0
2011-07-21,1853.4300537109375,1853.4300537109375,1853.4300537109375,1853.4300537109375,0
2011-07-22,1853.4300537109375,1853.4300537109375,1853.4300537109375,1853.4300537109375,0
2011-07-25,1914.6400146484375,1914.6400146484375,1914.6400146484375,1914.6400146484375,0
2011-07-26,1885.0400390625,1885.0400390625,1885.0400390625,1885.0400390625,0
2011-07-27,1892.9200439453125,1892.9200439453125,1892.9200439453125,1892.9200439453125,0
2011-07-28,1890.969970703125,1890.969970703125,1890.969970703125,1890.969970703125,0
2011-07-29,1896.4300537109375,1896.4300537109375,1896.4300537109375,1896.4300537109375,0
2011-08-01,1896.4300537109375,1896.4300537109375,1896.4300537109375,1896.4300537109375,0
2011-08-02,1905.1099853515625,1905.1099853515625,1905.1099853515625,1905.1099853515625,0
2011-08-03,1886.6500244140625,1886.6500244140625,1886.6500244140625,1886.6500244140625,0
2011-08-04,1876.7900390625,1876.7900390625,1876.7900390625,1876.7900390625,0
2011-08-05,1855.52001953125,1855.52001953125,1855.52001953125,1855.52001953125,0
2011-08-08,1819.18994140625,1819.18994140625,1819.18994140625,1819.18994140625,0
2011-08-09,1808.969970703125,1808.969970703125,1808.969970703125,1808.969970703125,0
2011-08-10,1808.969970703125,1808.969970703125,1808.969970703125,1808.969970703125,0
2011-08-11,1819.0400390625,1819.0400390625,1819.0400390625,1819.0400390625,0
2011-08-12,1819.0400390625,1819.0400390625,1819.0400390625,1819.0400390625,0
2011-08-16,1805.27001953125,1805.27001953125,1805.27001953125,1805.27001953125,0
2011-08-17,1809.5899658203125,1809.5899658203125,1809.5899658203125,1809.5899658203125,0
2011-08-18,1792.6500244140625,1792.6500244140625,1792.6500244140625,1792.6500244140625,0
2011-08-19,1779.3800048828125,1779.3800048828125,1779.3800048828125,1779.3800048828125,0
2011-08-22,1779.3800048828125,1779.3800048828125,1779.3800048828125,1779.3800048828125,0
2011-08-23,1807.2099609375,1807.2099609375,1807.2099609375,1807.2099609375,0
2011-08-24,1818.3800048828125,1818.3800048828125,1818.3800048828125,1818.3800048828125,0
2011-08-25,1796.300048828125,1796.300048828125,1796.300048828125,1796.300048828125,0
2011-08-26,1797.25,1797.25,1797.25,1797.25,0
2011-08-29,1776.1300048828125,1776.1300048828125,1776.1300048828125,1776.1300048828125,0
2011-08-30,1807.989990234375,1807.989990234375,1807.989990234375,1807.989990234375,0
2011-09-02,1825.0699462890625,1825.0699462890625,1825.0699462890625,1825.0699462890625,0
2011-09-05,1854.25,1854.25,1854.25,1854.25,0
2011-09-06,1851.5699462890625,1851.5699462890625,1851.5699462890625,1851.5699462890625,0
2011-09-07,1861.5999755859375,1861.5999755859375,1861.5999755859375,1861.5999755859375,0
2011-09-08,1859.72998046875,1859.72998046875,1859.72998046875,1859.72998046875,0
2011-09-09,1859.72998046875,1859.72998046875,1859.72998046875,1859.72998046875,0
2011-09-12,1850.4599609375,1850.4599609375,1850.4599609375,1850.4599609375,0
2011-09-13,1833.1300048828125,1833.1300048828125,1833.1300048828125,1833.1300048828125,0
2011-09-14,1826.77001953125,1826.77001953125,1826.77001953125,1826.77001953125,0
2011-09-15,1842.8499755859375,1842.8499755859375,1842.8499755859375,1842.8499755859375,0
2011-09-16,1833.0,1833.0,1833.0,1833.0,0
2011-09-19,1825.6500244140625,1825.6500244140625,1825.6500244140625,1825.6500244140625,0
2011-09-20,1847.1700439453125,1847.1700439453125,1847.1700439453125,1847.1700439453125,0
2011-09-21,1842.3599853515625,1842.3599853515625,1842.3599853515625,1842.3599853515625,0
2011-09-22,1784.8499755859375,1784.8499755859375,1784.8499755859375,1784.8499755859375,0
2011-09-23,1780.4300537109375,1780.4300537109375,1780.4300537109375,1780.4300537109375,0
2011-09-26,1761.760009765625,1761.760009765625,1761.760009765625,1761.760009765625,0
2011-09-27,1797.77001953125,1797.77001953125,1797.77001953125,1797.77001953125,0
2011-09-28,1786.5799560546875,1786.5799560546875,1786.5799560546875,1786.5799560546875,0
2011-09-29,1803.280029296875,1803.280029296875,1803.280029296875,1803.280029296875,0
2011-09-30,1787.0400390625,1787.0400390625,1787.0400390625,1787.0400390625,0
2011-10-03,1774.030029296875,1774.030029296875,1774.030029296875,1774.030029296875,0
2011-10-04,1749.3699951171875,1749.3699951171875,1749.3699951171875,1749.3699951171875,0
2011-10-05,1747.260009765625,1747.260009765625,1747.260009765625,1747.260009765625,0
2011-10-07,1762.0,1762.0,1762.0,1762.0,0
2011-10-10,1781.1400146484375,1781.1400146484375,1781.1400146484375,1781.1400146484375,0
2011-10-11,1788.9200439453125,1788.9200439453125,1788.9200439453125,1788.9200439453125,0
2011-10-12,1803.260009765625,1803.260009765625,1803.260009765625,1803.260009765625,0
2011-10-13,1788.93994140625,1788.93994140625,1788.93994140625,1788.93994140625,0
2011-10-14,1807.280029296875,1807.280029296875,1807.280029296875,1807.280029296875,0
2011-10-17,1811.18994140625,1811.18994140625,1811.18994140625,1811.18994140625,0
2011-10-18,1793.0899658203125,1793.0899658203125,1793.0899658203125,1793.0899658203125,0
2011-10-19,1818.6199951171875,1818.6199951171875,1818.6199951171875,1818.6199951171875,0
2011-10-20,1809.0400390625,1809.0400390625,1809.0400390625,1809.0400390625,0
