Price,Close,High,Low,Open,Volume
Ticker,LIQUIDBEES.NS,LIQUIDBEES.NS,LIQUIDBEES.NS,LIQUIDBEES.NS,LIQUIDBEES.NS
Date,,,,,
2010-01-04,589.8016357421875,589.8075395183265,589.7957319660485,0.0,35207
2010-01-05,589.8016357421875,589.8075395183265,589.7957319660485,0.0,107134
2010-01-06,589.8016357421875,589.8075395183265,589.7957319660485,0.0,93293
2010-01-07,589.8074951171875,589.8074951171875,589.7956875657983,0.0,38545
2010-01-08,589.8016357421875,589.8075395183265,589.7957319660485,0.0,36647
2010-01-11,589.8074951171875,589.8074951171875,589.7956875657983,0.0,48787
2010-01-12,589.8074951171875,589.8074951171875,589.7956875657983,0.0,45022
2010-01-13,589.8074951171875,589.8074951171875,589.7956875657983,0.0,42324
2010-01-14,589.7955322265625,589.8073397748418,589.7955322265625,0.0,45117
2010-01-15,589.7955322265625,589.8073397748418,589.7955322265625,0.0,50205
2010-01-18,589.8016357421875,589.8016357421875,589.7957319660485,0.0,29210
2010-01-19,589.8016357421875,589.8016357421875,589.8016357421875,589.8016357421875,0
2010-01-20,589.8016357421875,589.8016357421875,589.8016357421875,589.8016357421875,0
2010-01-21,589.8016357421875,589.8016357421875,589.8016357421875,589.8016357421875,0
2010-01-22,589.8016357421875,589.8016357421875,589.8016357421875,589.8016357421875,0
2010-01-25,589.8016357421875,589.8016357421875,589.8016357421875,589.8016357421875,0
2010-01-27,589.8016357421875,589.8016357421875,589.8016357421875,589.8016357421875,0
2010-01-28,589.8016357421875,589.8016357421875,589.8016357421875,589.8016357421875,0
2010-01-29,589.8016357421875,589.8016357421875,589.8016357421875,589.8016357421875,0
2010-02-01,589.8016357421875,589.8016357421875,589.8016357421875,589.8016357421875,0
2010-02-02,589.8016357421875,589.8016357421875,589.8016357421875,589.8016357421875,0
2010-02-03,589.8016357421875,589.8016357421875,589.8016357421875,589.8016357421875,0
2010-02-04,589.8016357421875,589.8016357421875,589.8016357421875,589.8016357421875,0
2010-02-05,589.7955322265625,589.8073397748418,589.7955322265625,589.8014360007021,121722
2010-02-08,589.7955322265625,589.8073397748418,589.7955322265625,589.8014360007021,125235
2010-02-09,589.7955322265625,589.8073397748418,589.7955322265625,589.7955322265625,37544
2010-02-10,589.8016357421875,589.8075395183265,589.7957319660485,589.8016357421875,68588
2010-02-11,589.7955322265625,589.8073397748418,589.7955322265625,589.7955322265625,74670
2010-02-15,589.8016357421875,589.8075395183265,589.7957319660485,589.8016357421875,48986
2010-02-16,589.8016357421875,589.8075395183265,589.7957319660485,589.7957319660485,94633
2010-02-17,589.8016357421875,589.8075395183265,589.7957319660485,589.8075395183265,101467
2010-02-18,589.8016357421875,589.8075395183265,589.7957319660485,589.7957319660485,37810
2010-02-19,589.8016357421875,589.8075395183265,589.7957319660485,589.8075395183265,138808
2010-02-22,589.8016357421875,589.8075395183265,589.7957319660485,589.8016357421875,88895
2010-02-23,589.7955322265625,589.8073397748418,589.7955322265625,589.8014360007021,30433
2010-02-24,589.8016357421875,589.8075395183265,589.7957319660485,589.8075395183265,34619
2010-02-25,589.7955322265625,589.8073397748418,589.7955322265625,589.8014360007021,66836
2010-02-26,589.7955322265625,589.8073397748418,589.7955322265625,589.7955322265625,28137
2010-03-02,589.7955322265625,589.8073397748418,589.7955322265625,589.7955322265625,78850
2010-03-03,589.7955322265625,589.8073397748418,589.7955322265625,589.7955322265625,88431
2010-03-04,589.7955322265625,589.8073397748418,589.7955322265625,589.8014360007021,94454
2010-03-05,589.7955322265625,589.8073397748418,589.7955322265625,589.7955322265625,75669
2010-03-08,589.8016357421875,589.8075395183265,589.7957319660485,589.8075395183265,48412
2010-03-09,589.7955322265625,589.8073397748418,589.7955322265625,589.7955322265625,59987
2010-03-10,589.7955322265625,589.8073397748418,589.7955322265625,589.8073397748418,61273
2010-03-11,589.7955322265625,589.8073397748418,589.7955322265625,589.8014360007021,22186
2010-03-12,589.7955322265625,589.8073397748418,589.7955322265625,589.8014360007021,54078
2010-03-15,589.8016357421875,589.8075395183265,589.7957319660485,589.7957319660485,28643
2010-03-16,589.8016357421875,589.8075395183265,589.7957319660485,589.8016357421875,66541
2010-03-17,589.7955322265625,589.8073397748418,589.7955322265625,589.7955322265625,68233
2010-03-18,589.7955322265625,589.8073397748418,589.7955322265625,589.7955322265625,65616
2010-03-19,589.8016357421875,589.8075395183265,589.7957319660485,589.7957319660485,151489
2010-03-22,589.7955322265625,589.8014360007021,589.7955322265625,589.8014360007021,108641
2010-03-23,589.7955322265625,589.8014360007021,589.7955322265625,589.7955322265625,158050
2010-03-25,589.7955322265625,589.8014360007021,589.7955322265625,589.7955322265625,127402
2010-03-26,589.8016357421875,589.8075395183265,589.7957319660485,589.7957319660485,104878
