number,value,datetime_start,datetime_complete,duration,params_max_sector_weight,params_min_sector_weight,params_momentum_lookback,params_rs_lookback,params_top_n_sectors,params_trend_ma_period,params_use_trend_filter,params_volatility_window,params_weight_smoothing_alpha,state
34,0.6026401945278287,2026-02-06 01:56:42.013408,2026-02-06 01:56:43.022805,0 days 00:00:01.009397,0.35,0.02,30,80,5,50,False,28,0.30000000000000004,COMPLETE
35,0.6256066439974307,2026-02-06 01:56:43.023394,2026-02-06 01:56:44.094052,0 days 00:00:01.070658,0.3,0.01,30,80,5,40,False,34,0.2,COMPLETE
36,0.564188051748482,2026-02-06 01:56:44.094514,2026-02-06 01:56:45.152469,0 days 00:00:01.057955,0.3,0.01,30,60,5,40,False,40,0.2,COMPLETE
37,0.5793631352275492,2026-02-06 01:56:45.152917,2026-02-06 01:56:46.059948,0 days 00:00:00.907031,0.3,0.01,30,100,6,40,False,34,0.2,COMPLETE
38,0.5452055053140128,2026-02-06 01:56:46.060404,2026-02-06 01:56:47.053389,0 days 00:00:00.992985,0.3,0.01,20,100,5,40,False,40,0.2,COMPLETE
39,0.5422641789242371,2026-02-06 01:56:47.053844,2026-02-06 01:56:47.996635,0 days 00:00:00.942791,0.35,0.01,5,80,5,40,True,46,0.1,COMPLETE
40,0.5101357939489014,2026-02-06 01:56:47.997109,2026-02-06 01:56:49.190835,0 days 00:00:01.193726,0.3,0.02,25,70,2,50,False,34,0.30000000000000004,COMPLETE
41,0.6026401945278287,2026-02-06 01:56:49.191287,2026-02-06 01:56:50.120262,0 days 00:00:00.928975,0.35,0.02,30,80,5,50,False,28,0.30000000000000004,COMPLETE
42,0.6084058560551726,2026-02-06 01:56:50.120718,2026-02-06 01:56:51.061369,0 days 00:00:00.940651,0.35,0.02,30,90,5,50,False,22,0.30000000000000004,COMPLETE
43,0.5539328034527399,2026-02-06 01:56:51.061822,2026-02-06 01:56:52.008283,0 days 00:00:00.946461,0.3,0.01,30,90,6,50,False,22,0.30000000000000004,COMPLETE
44,0.6317615820314989,2026-02-06 01:56:52.008757,2026-02-06 01:56:52.968281,0 days 00:00:00.959524,0.35,0.02,30,100,5,40,False,16,0.30000000000000004,COMPLETE
45,0.5459265467361455,2026-02-06 01:56:52.968748,2026-02-06 01:56:54.036369,0 days 00:00:01.067621,0.3,0.02,25,100,5,40,False,22,0.2,COMPLETE
46,0.6411557098461137,2026-02-06 01:56:54.036834,2026-02-06 01:56:55.966782,0 days 00:00:01.929948,0.25,0.01,30,100,5,40,True,16,0.2,COMPLETE
47,0.5327598103585208,2026-02-06 01:56:55.967250,2026-02-06 01:56:57.283252,0 days 00:00:01.316002,0.25,0.01,25,100,6,40,True,10,0.2,COMPLETE
48,0.643552809326888,2026-02-06 01:56:57.283703,2026-02-06 01:56:59.220365,0 days 00:00:01.936662,0.25,0.01,30,100,5,40,True,16,0.1,COMPLETE
49,0.643552809326888,2026-02-06 01:56:59.220830,2026-02-06 01:57:01.259273,0 days 00:00:02.038443,0.25,0.01,30,100,5,40,True,16,0.1,COMPLETE
