parameter,value,wf_sharpe,wf_sortino,wf_calmar,wf_total_return,holdout_sharpe,holdout_sortino,holdout_calmar,holdout_total_return,holdout_max_drawdown
top_n_sectors,2.0,0.7813329197984812,0.9614332316313505,0.7215344420770825,1.4723113000765036,-0.02234730608409207,-0.026706968025112146,0.18658409123875408,0.08187338546405765,-0.21508493435032616
top_n_sectors,3.0,0.7513052315256674,0.9282663191168617,0.6586099441915462,1.2766368359330156,-0.0692976904123353,-0.08006426698628386,0.16261928728343872,0.07006448833280321,-0.2117781660264767
top_n_sectors,4.0,0.78561505261441,0.9803507524373327,0.7158570050970753,1.2967107757090601,-0.23289974306043043,-0.2730751817872975,0.0773114011260275,0.0333358128842316,-0.21382700143543543
top_n_sectors,5.0,0.8402674081117932,1.0458162538868374,0.743966149588442,1.361258183619242,-0.3249421930258128,-0.3856523160051198,0.03182754700449391,0.013474921630204806,-0.21097811173658
top_n_sectors,6.0,0.7311458323660228,0.9003752512576774,0.6959181198059883,1.163613351920862,-0.361649774966318,-0.4281015269485369,0.013543417601894665,0.005610541493179078,-0.20684195499981473
max_sector_weight,0.25,0.7810772991326477,0.9609584171573332,0.7213027911906368,1.4716466095657132,-0.02234730608409202,-0.02670696802511208,0.18658409123875408,0.08187338546405765,-0.21508493435032616
max_sector_weight,0.3,0.7823702528287348,0.961981025965742,0.7219728506327506,1.47356965759887,-0.021148564025032242,-0.025280205133311882,0.18731411785164612,0.08220004826167049,-0.21508493435032616
max_sector_weight,0.35,0.7618215278566661,0.9362841969891408,0.7056047413087753,1.4269458477798165,0.007229032682382839,0.008679887778654735,0.21123100786425392,0.09026957344476716,-0.20905900900583763
max_sector_weight,0.4,0.7865227816955627,0.9674470748253055,0.7236577251859059,1.4660409777540968,0.012364791134232245,0.014838276855919194,0.21291163023929874,0.09163635978919071,-0.21048183769058926
max_sector_weight,0.5,0.7813329197984812,0.9614332316313505,0.7215344420770825,1.4723113000765036,-0.02234730608409207,-0.026706968025112146,0.18658409123875408,0.08187338546405765,-0.21508493435032616
rs_lookback,20.0,0.7813329197984812,0.9614332316313505,0.7215344420770825,1.4723113000765036,-0.02234730608409207,-0.026706968025112146,0.18658409123875408,0.08187338546405765,-0.21508493435032616
rs_lookback,40.0,0.5618227571817925,0.7033021298582672,0.6273699088493863,1.0076795836298507,0.033593280300014294,0.04091964512631407,0.22908329270619432,0.09765301276895832,-0.20817479917197723
