number,value,datetime_start,datetime_complete,duration,params_max_sector_weight,params_min_exposure,params_min_sector_weight,params_momentum_lookback,params_risk_reduction_factor,params_rs_lookback,params_smooth_scaling,params_top_n_sectors,params_trend_ma_period,params_use_trend_filter,params_vol_percentile,params_vol_window,params_volatility_window,params_weight_smoothing_alpha,state
0,0.23065375820420245,2026-02-06 03:57:40.891310,2026-02-06 03:57:42.151266,0 days 00:00:01.259956,0.5,0.1,0.04,5,0.7,70,False,3,50,False,0.3,30,16,0.4,COMPLETE
1,0.5693148785212875,2026-02-06 03:57:42.152036,2026-02-06 03:57:43.783703,0 days 00:00:01.631667,0.4,0.1,0.03,20,0.5,40,True,3,40,False,0.2,40,16,0.4,COMPLETE
2,0.29136664735106377,2026-02-06 03:57:43.784342,2026-02-06 03:57:45.557920,0 days 00:00:01.773578,0.5,0.30000000000000004,0.05,10,0.4,90,False,2,20,True,0.3,30,10,0.30000000000000004,COMPLETE
3,0.5534497004346817,2026-02-06 03:57:45.558556,2026-02-06 03:57:47.196133,0 days 00:00:01.637577,0.3,0.2,0.05,30,0.4,80,True,4,20,False,0.1,30,52,0.1,COMPLETE
4,0.32405583036556007,2026-02-06 03:57:47.196776,2026-02-06 03:57:48.712743,0 days 00:00:01.515967,0.4,0.1,0.01,5,0.6000000000000001,90,True,3,20,True,0.25,80,52,0.5,COMPLETE
5,0.4359613551152892,2026-02-06 03:57:48.713382,2026-02-06 03:57:49.961535,0 days 00:00:01.248153,0.4,0.30000000000000004,0.02,10,0.6000000000000001,20,True,6,60,True,0.25,30,22,0.30000000000000004,COMPLETE
6,0.5322325337541395,2026-02-06 03:57:49.962186,2026-02-06 03:57:51.274167,0 days 00:00:01.311981,0.35,0.1,0.01,5,0.4,20,True,4,60,False,0.25,60,40,0.2,COMPLETE
7,0.5660090160817163,2026-02-06 03:57:51.274892,2026-02-06 03:57:52.529207,0 days 00:00:01.254315,0.45,0.2,0.04,25,0.4,90,False,6,60,True,0.05,50,16,0.5,COMPLETE
8,0.49596271683115556,2026-02-06 03:57:52.529854,2026-02-06 03:57:54.676476,0 days 00:00:02.146622,0.4,0.2,0.03,5,0.7,30,True,2,40,True,0.3,50,22,0.4,COMPLETE
9,0.21958328186501597,2026-02-06 03:57:54.677129,2026-02-06 03:57:57.202956,0 days 00:00:02.525827,0.25,0.4,0.04,5,0.6000000000000001,60,False,3,20,True,0.1,100,22,0.30000000000000004,COMPLETE
10,0.5515432193227358,2026-02-06 03:57:57.203668,2026-02-06 03:57:58.543145,0 days 00:00:01.339477,0.3,0.4,0.02,20,0.3,50,True,5,40,False,0.15000000000000002,80,34,0.4,COMPLETE
11,0.5156916894109126,2026-02-06 03:57:58.543793,2026-02-06 03:57:59.779933,0 days 00:00:01.236140,0.45,0.2,0.03,25,0.5,40,False,6,50,False,0.05,50,10,0.5,COMPLETE
12,0.4341610152454761,2026-02-06 03:57:59.780585,2026-02-06 03:58:01.098599,0 days 00:00:01.318014,0.45,0.1,0.04,20,0.5,100,False,5,30,True,0.2,50,28,0.5,COMPLETE
13,0.5831744636273499,2026-02-06 03:58:01.099246,2026-02-06 03:58:02.357431,0 days 00:00:01.258185,0.45,0.2,0.03,25,0.3,50,False,5,50,False,0.15000000000000002,60,16,0.4,COMPLETE
14,0.6114402419934761,2026-02-06 03:58:02.358064,2026-02-06 03:58:03.634000,0 days 00:00:01.275936,0.35,0.30000000000000004,0.02,30,0.3,50,True,5,50,False,0.15000000000000002,70,34,0.4,COMPLETE
15,0.6466266738280275,2026-02-06 03:58:03.634642,2026-02-06 03:58:04.901076,0 days 00:00:01.266434,0.35,0.30000000000000004,0.02,30,0.3,50,False,5,50,False,0.15000000000000002,70,40,0.2,COMPLETE
16,0.6039774535476571,2026-02-06 03:58:04.901705,2026-02-06 03:58:06.183822,0 days 00:00:01.282117,0.35,0.30000000000000004,0.02,30,0.3,60,True,5,50,False,0.1,80,40,0.2,COMPLETE
17,0.5787547862850203,2026-02-06 03:58:06.184455,2026-02-06 03:58:07.922686,0 days 00:00:01.738231,0.3,0.30000000000000004,0.02,30,0.3,70,False,4,30,False,0.15000000000000002,70,40,0.2,COMPLETE
18,0.3549922181785254,2026-02-06 03:58:07.923332,2026-02-06 03:58:09.660070,0 days 00:00:01.736738,0.25,0.4,0.01,15,0.3,40,True,5,50,False,0.2,100,46,0.1,COMPLETE
19,0.29343333624946,2026-02-06 03:58:09.660705,2026-02-06 03:58:10.949699,0 days 00:00:01.288994,0.35,0.30000000000000004,0.02,25,0.4,50,False,6,40,False,0.1,90,34,0.2,COMPLETE
20,0.6510318498327546,2026-02-06 03:58:10.950342,2026-02-06 03:58:12.266188,0 days 00:00:01.315846,0.3,0.4,0.01,30,0.3,70,True,5,60,False,0.15000000000000002,70,46,0.1,COMPLETE
21,0.6510318498327546,2026-02-06 03:58:12.266839,2026-02-06 03:58:13.615793,0 days 00:00:01.348954,0.3,0.4,0.01,30,0.3,70,True,5,60,False,0.15000000000000002,70,46,0.1,COMPLETE
22,0.5513422710845686,2026-02-06 03:58:13.616459,2026-02-06 03:58:15.386839,0 days 00:00:01.770380,0.3,0.4,0.01,30,0.3,70,True,4,60,False,0.15000000000000002,70,46,0.1,COMPLETE
23,0.7617268965739618,2026-02-06 03:58:15.387537,2026-02-06 03:58:17.060901,0 days 00:00:01.673364,0.25,0.4,0.01,25,0.4,60,True,5,60,False,0.2,60,46,0.1,COMPLETE
24,0.6319398869962329,2026-02-06 03:58:17.061624,2026-02-06 03:58:20.705419,0 days 00:00:03.643795,0.25,0.4,0.01,25,0.4,80,True,4,60,False,0.2,60,46,0.1,COMPLETE
25,0.42815194284355695,2026-02-06 03:58:20.706085,2026-02-06 03:58:22.075510,0 days 00:00:01.369425,0.25,0.4,0.01,25,0.4,60,True,6,60,False,0.2,90,52,0.1,COMPLETE
26,0.6745765709612648,2026-02-06 03:58:22.076188,2026-02-06 03:58:23.374864,0 days 00:00:01.298676,0.3,0.4,0.01,30,0.5,80,True,5,60,False,0.25,60,46,0.1,COMPLETE
27,0.4389880037941045,2026-02-06 03:58:23.375504,2026-02-06 03:58:27.230684,0 days 00:00:03.855180,0.25,0.4,0.01,20,0.5,80,True,4,60,False,0.25,60,52,0.1,COMPLETE
28,0.3522067053328055,2026-02-06 03:58:27.231323,2026-02-06 03:58:28.516827,0 days 00:00:01.285504,0.3,0.4,0.01,15,0.5,100,True,5,60,False,0.25,40,46,0.2,COMPLETE
29,0.5227709556669807,2026-02-06 03:58:28.517459,2026-02-06 03:58:29.840743,0 days 00:00:01.323284,0.25,0.4,0.02,25,0.5,80,True,6,50,False,0.3,40,40,0.1,COMPLETE
30,0.5898941149965267,2026-02-06 03:58:29.841387,2026-02-06 03:58:31.609497,0 days 00:00:01.768110,0.3,0.4,0.01,30,0.7,60,True,4,30,False,0.2,60,28,0.2,COMPLETE
31,0.629982993599541,2026-02-06 03:58:31.610145,2026-02-06 03:58:32.926986,0 days 00:00:01.316841,0.3,0.4,0.01,30,0.4,70,True,5,60,False,0.2,70,46,0.1,COMPLETE
32,0.5768382623416913,2026-02-06 03:58:32.927631,2026-02-06 03:58:34.262162,0 days 00:00:01.334531,0.3,0.4,0.01,30,0.3,70,True,5,60,False,0.15000000000000002,80,46,0.1,COMPLETE
33,0.6944351891217126,2026-02-06 03:58:34.262802,2026-02-06 03:58:35.967750,0 days 00:00:01.704948,0.25,0.4,0.01,25,0.4,80,True,5,60,False,0.25,60,52,0.1,COMPLETE
34,0.5704174421616028,2026-02-06 03:58:35.968424,2026-02-06 03:58:37.283267,0 days 00:00:01.314843,0.25,0.30000000000000004,0.01,20,0.4,80,True,6,50,False,0.25,50,52,0.1,COMPLETE
35,0.6715563959560288,2026-02-06 03:58:37.283982,2026-02-06 03:58:39.058956,0 days 00:00:01.774974,0.25,0.4,0.02,25,0.5,90,True,5,60,False,0.3,60,52,0.2,COMPLETE
36,0.654278335082419,2026-02-06 03:58:39.060156,2026-02-06 03:58:42.880930,0 days 00:00:03.820774,0.25,0.4,0.02,25,0.5,90,True,4,60,False,0.3,60,52,0.2,COMPLETE
37,0.5500106712082576,2026-02-06 03:58:42.881642,2026-02-06 03:58:44.612927,0 days 00:00:01.731285,0.25,0.30000000000000004,0.02,20,0.6000000000000001,90,True,5,50,False,0.3,50,52,0.2,COMPLETE
38,0.5966205987564199,2026-02-06 03:58:44.613576,2026-02-06 03:58:45.955138,0 days 00:00:01.341562,0.25,0.4,0.05,25,0.6000000000000001,100,True,6,60,True,0.25,40,52,0.30000000000000004,COMPLETE
39,0.3110441756774581,2026-02-06 03:58:45.955835,2026-02-06 03:58:48.273165,0 days 00:00:02.317330,0.25,0.30000000000000004,0.03,15,0.5,90,True,3,60,False,0.25,60,52,0.2,COMPLETE
40,0.502566911538342,2026-02-06 03:58:48.273809,2026-02-06 03:58:52.066896,0 days 00:00:03.793087,0.25,0.4,0.02,20,0.5,80,True,4,50,True,0.3,60,40,0.30000000000000004,COMPLETE
41,0.654278335082419,2026-02-06 03:58:52.067571,2026-02-06 03:58:55.810666,0 days 00:00:03.743095,0.25,0.4,0.02,25,0.5,90,True,4,60,False,0.3,60,52,0.2,COMPLETE
