Date,Auto,Consumer,Oil & Gas (Energy),FMCG,IT,Media,Metal,Healthcare (Pharma),Realty,Finance,Benchmark
2013-01-02,4911.2998046875,2380.85009765625,8022.9501953125,15225.4501953125,6031.0,1824.300048828125,2973.89990234375,6070.25,288.8999938964844,12786.701171875,5993.25
2013-01-03,4905.35009765625,2385.25,8110.4501953125,15172.25,6097.60009765625,1837.5999755859375,2983.75,6075.7998046875,292.70001220703125,12778.001953125,6009.5
2013-01-04,4892.89990234375,2384.550048828125,8183.5,15134.349609375,6153.2001953125,1826.75,2955.800048828125,6080.39990234375,293.3999938964844,12787.201171875,6016.14990234375
2013-01-07,4913.2001953125,2379.64990234375,8174.7001953125,14966.900390625,6175.4501953125,1819.050048828125,2986.050048828125,6104.4501953125,291.5,12708.552734375,5988.39990234375
2013-01-08,4915.2998046875,2386.60009765625,8164.4501953125,15148.599609375,6147.89990234375,1820.3499755859375,2955.39990234375,6156.5498046875,295.54998779296875,12725.3525390625,6001.7001953125
2013-01-09,4951.75,2370.5,8186.14990234375,14918.849609375,6101.0498046875,1815.050048828125,2919.550048828125,6169.25,292.6000061035156,12717.8525390625,5971.5
2013-01-10,4970.89990234375,2366.300048828125,8192.7001953125,14947.599609375,6073.10009765625,1822.949951171875,2907.050048828125,6117.10009765625,293.25,12802.1015625,5968.64990234375
2013-01-11,4908.35009765625,2332.0,8069.4501953125,14582.75,6639.85009765625,1824.449951171875,2859.85009765625,6056.10009765625,287.1000061035156,12617.703125,5951.2998046875
2013-01-14,4882.10009765625,2343.85009765625,8170.85009765625,14737.5498046875,6809.5,1836.4000244140625,2901.0,6031.35009765625,301.6000061035156,12758.6015625,6024.0498046875
2013-01-15,4903.25,2357.60009765625,8213.0498046875,14852.349609375,6791.5,1823.4000244140625,2894.5,6032.2001953125,305.1499938964844,12855.2509765625,6056.60009765625
2013-01-16,4784.0498046875,2324.39990234375,8244.0,14815.2998046875,6777.9501953125,1784.75,2827.60009765625,6018.2001953125,300.29998779296875,12638.353515625,6001.85009765625
2013-01-17,4806.60009765625,2327.85009765625,8458.0498046875,14806.0,6869.4501953125,1812.050048828125,2837.699951171875,6001.89990234375,306.45001220703125,12649.4521484375,6039.2001953125
2013-01-18,4778.25,2321.550048828125,8711.349609375,14818.849609375,6798.7001953125,1790.449951171875,2825.10009765625,5960.75,310.1499938964844,12679.8525390625,6064.39990234375
2013-01-21,4765.10009765625,2338.64990234375,8798.0,14992.150390625,6789.39990234375,1793.3499755859375,2818.300048828125,5940.89990234375,305.3500061035156,12651.2021484375,6082.2998046875
2013-01-22,4739.2998046875,2323.64990234375,8756.25,14802.9501953125,6739.64990234375,1785.3499755859375,2793.75,5926.25,299.0,12574.203125,6048.5
2013-01-23,4699.60009765625,2332.199951171875,8726.25,14785.150390625,6725.7998046875,1829.6500244140625,2780.800048828125,5910.7998046875,290.8500061035156,12635.0537109375,6054.2998046875
2013-01-24,4579.89990234375,2306.0,8638.5498046875,14910.150390625,6742.39990234375,1782.8499755859375,2730.85009765625,5857.64990234375,276.1000061035156,12561.25390625,6019.35009765625
2013-01-25,4679.0498046875,2335.35009765625,8654.25,15056.599609375,6800.75,1811.5999755859375,2766.89990234375,5949.4501953125,289.54998779296875,12693.1025390625,6074.64990234375
2013-01-28,4723.25,2337.35009765625,8565.900390625,15082.75,6822.7001953125,1822.3499755859375,2773.10009765625,5936.39990234375,294.20001220703125,12781.201171875,6074.7998046875
2013-01-29,4680.7998046875,2321.85009765625,8470.849609375,15166.099609375,6792.2998046875,1794.550048828125,2759.050048828125,5914.9501953125,287.0,12722.65234375,6049.89990234375
2013-01-30,4658.5498046875,2319.25,8532.599609375,15176.4501953125,6787.85009765625,1788.300048828125,2766.0,5929.2998046875,290.70001220703125,12767.3515625,6055.75
2013-01-31,4649.89990234375,2319.449951171875,8482.650390625,15265.349609375,6778.0,1819.8499755859375,2773.25,5935.25,294.79998779296875,12708.4521484375,6034.75
2013-02-01,4591.0498046875,2325.10009765625,8505.400390625,15302.599609375,6752.64990234375,1831.800048828125,2754.35009765625,5989.64990234375,291.3500061035156,12606.103515625,5998.89990234375
2013-02-04,4628.14990234375,2325.25,8410.5,15257.7001953125,6750.25,1843.1500244140625,2730.89990234375,5907.5,289.79998779296875,12548.2041015625,5987.25
2013-02-05,4611.9501953125,2313.5,8344.0,15069.75,6728.7001953125,1835.0,2713.10009765625,5963.75,288.6499938964844,12467.60546875,5956.89990234375
2013-02-06,4605.5,2319.64990234375,8329.25,15133.25,6766.7998046875,1848.4000244140625,2718.300048828125,5951.9501953125,291.04998779296875,12417.5556640625,5959.2001953125
2013-02-07,4615.10009765625,2300.5,8261.5498046875,15119.150390625,6799.0,1811.0999755859375,2691.199951171875,5909.64990234375,286.3999938964844,12349.15625,5938.7998046875
2013-02-08,4566.0498046875,2282.39990234375,8166.25,14989.5498046875,6852.7001953125,1802.0999755859375,2654.050048828125,5837.35009765625,282.95001220703125,12280.0078125,5903.5
2013-02-11,4571.2001953125,2277.050048828125,8170.64990234375,14950.150390625,6832.0498046875,1800.949951171875,2647.199951171875,5886.5498046875,284.6499938964844,12332.8564453125,5897.85009765625
